int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;TIPO_REG;$2.;/* TIPO DE REGISTRO                                 */;2;0;2;c;TRUE
3;COD_UF;$2.;/* CÓDIGO DA UF                                     */;2;0;4;c;TRUE
5;NUM_SEQ;$3.;/* NÚMERO SEQUENCIAL                                */;3;0;7;c;TRUE
8;NUM_DV;$1.;/* DV DO SEQUENCIAL                                 */;1;0;8;c;TRUE
9;COD_DOMC;$2.;/* NÚMERO DO DOMICÍLIO                              */;2;0;10;c;TRUE
11;NUM_UC;$1.;/* NÚMERO DA UC                                     */;1;0;11;c;TRUE
12;NUM_EXT_RENDA;$2.;/* ESTRATO GEOGRÁFICO                               */;2;0;13;c;TRUE
14;FATOR_EXPANSAO1;14.8;/* FATOR DE EXPANSÃO 1 (DESENHO AMOSTRAL)           */;14;8;27;d;FALSE
28;FATOR_EXPANSAO2;14.8;/* FATOR DE EXPANSÃO 2 (AJUSTADO P/ ESTIMATIVAS)    */;14;8;41;d;FALSE
42;NUM_QUADRO;$2.;/* NÚMERO DO QUADRO                                 */;2;0;43;c;TRUE
44;PROD_NUM_QUADRO_GRUPO_PRO;$2.;/* NÚMERO DO GRUPO DE DESPESA                       */;2;0;45;c;TRUE
46;COD_ITEM;$5.;/* CÓDIGO DO ITEM                                   */;5;0;50;c;TRUE
51;COD_OBTENCAO;$2.;/* FORMA DE AQUISIÇÃO                               */;2;0;52;c;TRUE
53;VAL_DESPESA;11.2;/* VALOR DA DESPESA / AQUISIÇÃO                     */;11;2;63;d;FALSE
64;FATOR_ANUAL;2.;/* FATOR DE ANUALIZAÇÃO                             */;2;0;65;i;FALSE
66;NUM_DEFLATOR;5.2;/* DEFLATOR FATOR                                   */;5;2;70;d;FALSE
71;VAL_DESPESA_CORRIGIDO;11.2;/* VALOR DA DESPESA DEFLACIONADO                    */;11;2;81;d;FALSE
82;VALOR_ANUAL_EXPANDIDO2;16.2;/* VALOR DA DESPESA ANUALIZADO E EXPANDIDO (FATOR2) */;16;2;97;d;FALSE
98;COD_IMPUT;$2.;/* CÓDIGO DE IMPUTAÇÃO                              */;2;0;99;c;TRUE
100;RENDA_BRUTA_MONETARIA;16.2;/* RENDA MONETÁRIA MENSAL DA UC                     */;16;2;115;d;FALSE
116;RENDA_BRUTA_NAO_MONETARIA;16.2;/* RENDA NÃO MONETÁRIA MENSAL DA UC                 */;16;2;131;d;FALSE
132;RENDA_TOTAL;16.2;/* RENDA TOTAL MENSAL DA UC                         */;16;2;147;d;FALSE
148;METODO_QUANTKG;$2.;/* MÉTODO DA QUANTIDADE ADQUIRIDA                   */;2;0;149;c;TRUE
150;QUANT_KG;8.3;/* QUANTIDADE FINAL EM KG                           */;8;3;157;d;FALSE
158;COD_LOCAL_COMPRA;$5.;/* CÓDIGO DO LOCAL DE AQUISIÇAO                     */;5;0;162;c;TRUE
163;QTD_ITEM;10.2;/* QUANTIDADE DO ITEM                               */;10;2;172;d;FALSE
173;COD_UNIDADE_MEDIDA;$5.;/* CÓDIGO DA UNIDADE DE MEDIDA                      */;5;0;177;c;TRUE
178;COD_PESO_VOLUME;$5.;/* CÓDIGO DO PESO OU VOLUME                         */;5;0;182;c;TRUE
